x,y,boh,name
4.04,240.8,16,micone
4.08,75.74,21,quaras
4.1,17.2,26,acaldi
4.1,30.4,27,des2pa
4.1,36.7,29,faraoc
4.1,94,42,hybapr
4.1,123.1,24,hybapr
4.1,137,86,poular
4.1,171,98,oenoma
4.1,227.8,26,hybapr
4.1,290.7,108,oenoma
4.1,313.4,31,faraoc
4.1,349.1,62,faraoc
4.1,353.8,111,cordbi
4.1,359,18,hybapr
4.1,366.1,32,sloate
4.1,386.9,14,heisco
4.1,408.2,12,faraoc
4.1,420.2,29,faraoc
4.1,495.4,28,chr1ec
4.11,95.19,-1,tri2tu
4.11,230.53,11,protpa
4.16,74.62,17,alsebl
4.2,16.6,32,acaldi
4.2,33.3,55,faraoc
4.2,45.7,64,des2pa
4.2,49.3,270,protte
4.2,149.8,30,protpa
4.2,153.7,43,faraoc
4.2,209.9,111,ocotce
4.2,227.6,17,des2pa
4.2,238,64,des2pa
4.2,307.5,20,eugega
4.2,324.4,55,poutst
4.2,401.1,60,protpa
4.2,418,64,faraoc
4.2,464,11,alsebl
4.24,49.77,20,cordla
4.24,497.62,12,gar2in
4.3,76.9,28,cordla
4.3,135.2,14,hybapr
4.3,160.8,20,mourmy
4.3,194.9,30,annoac
4.3,223.4,34,des2pa
4.3,269.5,129,pterro
4.3,285.14,20,alsebl
4.3,304.7,26,calolo
4.3,329.8,23,gar2in
4.3,398,32,faraoc
4.3,403.7,16,swars2
4.3,410.3,160,cecrin
4.3,421,-1,nectci
4.3,427,43,protte
4.3,448.7,-1,ocotce
4.3,457.6,24,cordla
4.3,468.4,12,alsebl
4.3,472.15,12,hirttr
4.3,496.9,86,maquco
4.31,243.25,45,crotbi
4.32,154.02,13,cou2cu
4.32,191.24,18,hybapr
4.32,255.47,10,ingath
4.33,54.14,29,sipacr
4.33,222.15,18,calolo
4.33,274.58,11,gar2in
4.33,467.7,11,rinosy
4.34,359.87,13,tet2pa
4.38,123.07,15,protpa
4.38,295.15,252,ceibpe
4.4,46.1,23,gar2in
4.4,78.9,47,alsebl
4.4,99.3,22,beilpe
4.4,99.8,14,ery2ma
4.4,105.8,18,hybapr
4.4,119.7,24,pourbi
4.4,128,26,hybapr
4.4,134.6,59,cordla
4.4,143.5,21,hybapr
4.4,146.9,66,soroaf
4.4,162.8,130,cordla
4.4,207.4,28,chr2ar
4.4,263.2,52,swars2
4.4,268.7,49,laciag
4.4,268.9,-1,sipapa
4.4,303.9,29,tet2pa
4.4,378.5,60,mourmy
4.4,407.4,18,hybapr
4.4,417.5,220,quaras
4.4,422.4,13,poutre
4.4,426.8,16,tet2pa
4.4,466.9,22,tachve
4.4,473.3,21,maquco
4.4,498.6,39,eugeoe
4.42,294.44,223,cordbi
4.45,361.73,16,gar2in
4.46,35.14,19,pourbi
4.46,126.36,14,calolo
4.5,30.9,-1,faraoc
4.5,67,73,beilpe
4.5,141.4,24,alsebl
4.5,204.6,37,des2pa
4.5,205.9,20,hybapr
4.5,243,19,hybapr
4.5,255.2,27,mourmy
4.5,303.9,13,soroaf
4.5,372,100,cordla
4.5,375.1,42,unonpi
4.5,401,30,faraoc
4.5,428,21,cappfr
4.5,469.8,25,hybapr
4.53,401.22,10,tet2pa
4.56,363.84,10,beilpe
4.6,9.1,22,guarsp
4.6,17.4,15,acaldi
4.6,41.9,100,oenoma
4.6,46.3,-1,alsebl
4.6,52.3,13,faraoc
4.6,76.6,202,protte
4.6,106.9,46,malmsp
4.6,133.1,85,swars2
4.6,141.7,109,protco
4.6,163,123,hirttr
4.6,184.9,66,brosal
4.6,193,-1,hybapr
4.6,195.3,381,guatdu
4.6,218.7,-1,des2pa
4.6,230.2,45,hybapr
4.6,245.3,235,protte
4.6,251,-1,laciag
4.6,256.9,16,cupasy
4.6,283.9,25,hybapr
