x,y,name
378.1,235.6,faraoc
363.5,234.0,pla2el
366.9,256.5,poutre
367.0,240.1,guargu
367.8,240.3,heisco
378.8,250.1,tri2tu
379.3,254.8,ficuc2
375.6,256.9,pterro
360.7,277.4,sch1zo
374.5,269.6,tet4jo
379.4,268.9,pterro
379.6,286.6,tri2tu
372.6,296.4,calolo
366.4,286.9,apeime
368.1,300.4,pla1pi
372.5,309.5,heisco
375.2,317.3,tri2tu
368.8,313.9,hirttr
361.7,315.9,alsebl
376.1,325.1,apeime
376.4,329.5,cordbi
377.6,332.7,cordal
371.9,342.0,tri2tu
367.3,343.5,tri2tu
366.0,357.3,apeime
362.6,358.1,poutst
368.2,358.9,tri2tu
373.9,362.8,pla1pi
367.4,365.0,tri2tu
363.3,363.5,poutst
360.1,365.2,tri2tu
374.1,368.0,alsebl
377.1,367.4,tri2tu
370.2,378.7,tri2tu
377.4,390.7,cupaci
373.8,385.1,chr2ca
374.1,395.9,jac1co
362.5,395.4,gustsu
363.9,394.8,tri2tu
425.9,392.0,protte
364.2,413.0,loncla
361.4,418.5,chr2ar
379.5,426.4,jac1co
377.1,429.0,beilpe
372.2,427.7,tri2pa
360.9,427.0,protte
366.2,432.5,protte
370.9,434.8,tab2ar
373.3,432.8,tri2tu
372.1,436.5,jac1co
365.4,435.4,hirttr
367.4,442.8,cecrin
376.5,448.1,heisco
375.7,453.1,cupala
370.1,459.6,zantbe
366.0,455.4,guazul
366.2,459.0,tab2ar
363.6,454.3,casear
364.9,448.9,virose
373.3,464.8,cecrin
368.4,477.8,protco
365.8,469.5,virose
372.7,483.1,gustsu
370.3,498.8,tri2pa
366.8,498.4,cordbi
344.3,485.8,hirttr
349.8,498.4,guetfo
354.6,496.0,tri2tu
357.9,474.0,diptpa
357.0,469.2,protte
355.3,467.7,tri2tu
346.0,479.5,ceibpe
346.2,465.8,licahy
350.1,449.8,poular
355.5,449.4,tab2ar
359.0,451.8,tet2pa
359.1,443.6,tri2tu
345.2,434.9,tri2tu
357.6,438.8,quaras
356.4,434.8,tri2tu
344.4,432.5,tri2pa
341.5,423.3,tri2tu
350.7,423.2,tri2tu
349.0,418.0,poutre
347.5,395.1,tri2tu
346.9,368.1,beilpe
352.3,369.5,tri2tu
359.9,377.7,guapst
346.8,363.3,guatdu
344.4,361.4,cordbi
354.2,355.6,tri2tu
357.7,350.5,tri2tu
346.3,349.6,tab2ar
342.5,340.6,casear
344.5,341.9,simaam
350.7,324.7,casear
350.9,323.5,gustsu
352.2,322.3,guetfo
340.6,326.8,apeime
343.9,332.9,tri2tu
347.1,319.5,cordal
354.28,309.84,lindla
353.2,306.0,jac1co
353.7,304.4,jac1co
349.4,303.0,cordal
345.7,302.2,cordal
349.8,301.2,poutre
352.0,297.9,jac1co
354.6,294.9,lindla
341.2,285.9,tri2tu
338.8,275.8,phoeci
349.0,269.2,sapiau
355.0,272.4,sponmo
359.1,264.3,cassel
349.4,280.3,poutre
355.6,243.7,sch1zo
340.2,236.8,cordbi
358.6,220.5,hirttr
350.4,220.6,pri2co
356.0,235.5,hirttr
357.7,239.8,tri2tu
357.7,206.8,tet2pa
359.3,204.0,simaam
359.5,200.6,tet2pa
349.6,208.2,tri2tu
344.5,216.0,dendar
343.9,208.0,laetpr
341.0,205.5,tab2ar
340.6,212.2,jac1co
345.2,186.0,cupasy
350.2,184.7,tab1gu
350.6,182.0,pri2co
359.1,178.2,pri2co
357.1,170.9,tet2pa
356.1,164.7,heisco
356.1,165.1,alsebl
342.9,164.9,eugene
349.1,159.4,poutre
355.1,151.8,cuparu
348.4,141.9,tab2ar
341.3,139.7,pri2co
342.2,133.7,micoar
357.9,134.0,cecrin
344.8,118.8,tab2ar
350.3,110.2,pri2co
356.5,105.9,pri2co
346.3,101.2,tri2tu
347.5,99.3,guazul
351.4,98.3,termob
359.2,93.6,tet2pa
349.5,91.5,quaras
342.8,89.8,simaam
341.5,83.8,tri2tu
357.9,85.1,tet2pa
349.0,81.0,pri2co
344.2,69.3,tri2tu
348.7,66.3,tri2tu
345.8,64.0,jac1co
351.2,61.5,tri2tu
359.2,61.0,tet2pa
356.3,68.8,poular
350.4,74.5,huracr
355.6,59.5,tri2tu
359.6,57.7,pla2el
353.5,56.0,tri2tu
352.8,54.5,tri2tu
341.6,55.7,brosal
340.8,54.5,quaras
340.3,44.7,pri2co
351.4,43.9,cordal
345.9,40.1,cordbi
347.2,39.1,virose
345.8,30.9,ocotwh
351.3,34.0,gustsu
357.8,36.3,cordbi
354.7,23.8,tab2ar
349.2,24.9,alsebl
347.0,26.5,virose
